지역,매장명,주소,위도,경도
서울,고대정문점,"서울특별시 동대문구 안암로 158-1, 102호(제기동)",37.58866913,127.0353733
대구,범어점,대구광역시 수성구 달구벌대로480길 31(범어동),35.85849601,128.6233721
부산,서면1번가점,부산광역시 부산진구 서면로 30(부전동),35.15335667,129.05807
부산,남항점,부산광역시 영도구 남항로41번길 1(남항동1가),35.08881267,129.0410133
경기,동탄2 시범단지점,"경기도 화성시 동탄대로시범길 148-14, 105호(청계동)",37.20004487,127.1137493
울산,매곡점,울산광역시 북구 매산로 35 월드프라자 104호(매곡동),,
울산,서부점,울산광역시 동구 방어진순환도로 913(서부동),35.52267938,129.4325708
인천,갈산점,인천광역시 부평구 주부토로 251(갈산동),37.51748686,126.7266019
경북,포항연일점,경상북도 포항시 남구 연일읍 철강로25번길 47,35.99583882,129.3458859
대전,우송대점,대전광역시 동구 동대전로 174-2(자양동),36.33706276,127.4479357
서울,보라매점,서울특별시 동작구 여의대방로 30(신대방동),37.49466066,126.9114473
서울,안국역점,서울특별시 종로구 계동길 33-2(계동),37.57891528,126.986528
강원,양구점,강원도 양구군 양구읍 중앙길 16,38.10676122,127.989197
경북,영남대점,경상북도 경산시 대학로 323(조영동),35.83917052,128.7563596
서울,마곡나루역점,"서울특별시 강서구 마곡중앙5로1길 20, 112호(마곡동)",37.56866646,126.826712
인천,청라커낼점,인천광역시 서구 청라커낼로329번길 19-3(청라동),37.53771406,126.6434794
충남,연무대점,충청남도 논산시 연무읍 안심로 134,36.13276491,127.0999056
인천,서창점,"인천광역시 남동구 서창남순환로215번길 17, 111호(서창동)",37.42472766,126.7475898
서울,수락산역점,서울특별시 노원구 동일로 1700토마토파르코 114호(상계동),,
경기,고양점,경기도 고양시 덕양구 혜음로 37(고양동),37.70400439,126.901875
경남,고성점,경상남도 고성군 고성읍 중앙로25번길 76,34.97758497,128.3242035
부산,동서대점,부산광역시 사상구 가야대로 358(주례동),35.15093952,129.0117952
부산,사상터미널점,"부산광역시 사상구 사상로 196, 한빛빌딩 1층(괘법동)",35.1627758,128.9848922
충남,천안두정점,"충청남도 천안시 서북구 봉정로 362, 103호(두정동)",36.83434309,127.1458013
제주,제주혁신도시점,제주특별자치도 서귀포시 대청로 34제주강정유승한내들퍼스트오션 제상가동 제1층 107호,,
서울,우장산역점,서울특별시 강서구 강서로45길 6(내발산동),37.54810288,126.8358175
경기,구리수택점,"경기도 구리시 체육관로80번길 41, 104호(수택동)",37.5918622,127.1402958
경기,부천 고강점,"경기도 부천시 역곡로 505, 104호(고강동)",37.52971782,126.8158471
대전,대전중앙로지하상가점,대전광역시 중구 중앙로 지하145 C가 15호(은행동),,
경기,부천 신중동점,"경기도 부천시 길주로 270, 105호(중동)",37.50299623,126.772031
경남,사천정동점,경상남도 사천시 정동면 정동중앙로 16-13,35.07709891,128.0870283
강원,신철원점,강원도 철원군 갈말읍 삼부연로 5-1,38.14518471,127.3086066
경북,포항유강점,"경상북도 포항시 남구 연일읍 유강길17번길 5, 1층",36.0045635,129.3185999
경기,이천중앙점,경기도 이천시 서희로 57(창전동),37.28069117,127.4426719
경북,포항두호점,경상북도 포항시 북구 두호로 30(두호동),36.06028448,129.3751483
서울,문정테라타워2점,"서울특별시 송파구 송파대로 201, A-132호(문정동)",37.48782867,127.1206324
인천,계양구청점,"인천광역시 계양구 계산새로 93, 105호(용종동)",37.5381622,126.738505
세종,세종새롬점,"세종특별자치시 새롬중앙로 51, 107호(새롬동)",36.48552055,127.2504877
대구,대구대현점,대구광역시 북구 대현로20길 9(대현동),35.88194983,128.609651
서울,홍대입구역점,서울특별시 마포구 홍익로6길 48(동교동),37.55619872,126.9242404
경기,포천송우리점,"경기도 포천시 소흘읍 송우로 79, 106호",37.8299261,127.1402649
경기,안양중앙시장점,경기도 안양시 만안구 안양로303번길 25(안양동),37.39842954,126.9197288
경기,동탄북광장점,경기도 화성시 동탄중심상가2길 7씨티플러스 1층 101호(반송동),,
경기,기흥구청점,경기도 용인시 기흥구 구갈로 70메가타운 108호(구갈동),,
경북,포항효자점,경상북도 포항시 남구 효성로 26(효자동),36.00619413,129.3364441
부산,부산수영점,부산광역시 수영구 연수로415번길 6(수영동),35.1682126,129.1147939
부산,부산사직점,"부산광역시 동래구 사직북로47번길 20, 1층(사직동)",35.19873352,129.0592083
인천,주안역점,"인천광역시 미추홀구 주안로 92, 105호(주안동)",37.46385951,126.6797894
서울,가양역점,"서울특별시 강서구 양천로 492, 105호(등촌동)",37.56087502,126.8546268
경북,쌍용사거리점,경상북도 포항시 북구 상대로 50(죽도동),36.01651373,129.3525713
경기,광명사거리역점,경기도 광명시 광명로 877광명한진아파트 1층 1106호(광명동),,
인천,도화점,"인천광역시 미추홀구 숙골로 90, 102호(도화동)",37.47047277,126.6634977
강원,철원문혜리점,강원도 철원군 갈말읍 태봉로 1532,38.18545723,127.3206121
경기,상현역점,경기도 용인시 수지구 광교중앙로 304 미주프라자 103호(상현동),,
경기,평택역점,경기도 평택시 평택1로 2-1(평택동),36.99225755,127.086936
부산,동래시장점,부산광역시 동래구 충렬대로 249(수안동),35.20141451,129.0865623
서울,대학점,서울특별시 관악구 호암로26가길 2(신림동),37.4707394,126.9340053
전남,나주혁신도시점,전라남도 나주시 상야4길 21(빛가람동),35.0220379,126.7920996
서울,우이동점,"서울특별시 강북구 삼양로149길 10(우이동, 다우에코빌)",37.65405567,127.0122061
경기,송탄출장소점,"경기도 평택시 관광특구로 30, 102호(서정동)",37.06655975,127.0620003
강원,강원대점,강원도 춘천시 서부대성로227번길 24(효자동),37.8733704,127.7451817
충남,아산탕정점,충청남도 아산시 탕정면 탕정면로 222,36.808576,127.0758583
부산,부산대점,부산광역시 금정구 금정로68번길 41청송아파트 1층(장전동),,
대구,칠성동점,"대구광역시 북구 중앙대로 540칠성동2가, 오페라 코오롱하늘채",,
경남,거제수월점,경상남도 거제시 수양로 442거제자이상가 1동 102호(수월동),,
