지역,매장명,주소,위도,경도
제주,제주혁신도시점,제주특별자치도 서귀포시 대청로 34제주강정유승한내들퍼스트오션,,
서울,우장산역점,서울특별시 강서구 강서로45길 6(내발산동),37.548096650000005,126.83583377488628
경기,구리수택점,"경기도 구리시 체육관로80번길 41,",,
경기,부천 고강점,"경기도 부천시 역곡로 505,",37.533121,126.8161123
대전,대전중앙로지하상가점,대전광역시 중구 중앙로 지하145,,
경기,부천 신중동점,"경기도 부천시 길주로 270,",37.5036093,126.7866016
경남,사천정동점,경상남도 사천시 정동면 정동중앙로,,
강원,신철원점,강원도 철원군 갈말읍 삼부연로,,
경북,포항유강점,경상북도 포항시 남구 연일읍,35.99816,129.32687
경기,이천중앙점,경기도 이천시 서희로 57(창전동),,
경북,포항두호점,경상북도 포항시 북구 두호로,36.0602051,129.3744177
서울,문정테라타워2점,"서울특별시 송파구 송파대로 201,",37.4874239,127.1193809
인천,계양구청점,"인천광역시 계양구 계산새로 93,",37.5374438,126.7286998
세종,세종새롬점,"세종특별자치시 새롬중앙로 51, 107호(새롬동)",,
대구,대구대현점,대구광역시 북구 대현로20길 9(대현동),,
서울,홍대입구역점,서울특별시 마포구 홍익로6길 48(동교동),,
경기,포천송우리점,경기도 포천시 소흘읍 송우로,37.8287991,127.1435894
경기,안양중앙시장점,경기도 안양시 만안구 안양로303번길,37.3985572,126.9197671
경기,동탄북광장점,경기도 화성시 동탄중심상가2길 7씨티플러스,,
경기,기흥구청점,경기도 용인시 기흥구 구갈로,37.2829956,127.1112159
경북,포항효자점,경상북도 포항시 남구 효성로,36.0061236,129.3394631
부산,부산수영점,부산광역시 수영구 연수로415번길 6(수영동),,
부산,부산사직점,"부산광역시 동래구 사직북로47번길 20,",35.1986389,129.0593709
인천,주안역점,"인천광역시 미추홀구 주안로 92,",37.4640719,126.6802572
서울,가양역점,"서울특별시 강서구 양천로 492,",37.5733451,126.8166853
경북,쌍용사거리점,경상북도 포항시 북구 상대로,36.0152116,129.3554234
경기,광명사거리역점,경기도 광명시 광명로 877광명한진아파트,,
인천,도화점,"인천광역시 미추홀구 숙골로 90,",37.4677788,126.6656426
강원,철원문혜리점,강원도 철원군 갈말읍 태봉로,38.1848433,127.3043441
경기,상현역점,경기도 용인시 수지구 광교중앙로,37.29556,127.0687234
경기,평택역점,경기도 평택시 평택1로 2-1(평택동),,
부산,동래시장점,부산광역시 동래구 충렬대로 249(수안동),,
서울,대학점,서울특별시 관악구 호암로26가길 2(신림동),,
전남,나주혁신도시점,전라남도 나주시 상야4길 21(빛가람동),35.0220379,126.7920996
서울,우이동점,"서울특별시 강북구 삼양로149길 10(우이동,",,
경기,송탄출장소점,"경기도 평택시 관광특구로 30,",37.0665616,127.0619958
강원,강원대점,강원도 춘천시 서부대성로227번길 24(효자동),,
충남,아산탕정점,충청남도 아산시 탕정면 탕정면로,36.7987774,127.0637549
부산,부산대점,부산광역시 금정구 금정로68번길 41청송아파트,,
대구,칠성동점,"대구광역시 북구 중앙대로 540칠성동2가,",,
경남,거제수월점,경상남도 거제시 수양로 442거제자이상가,,
대구,칠곡3지구점,"대구광역시 북구 동천로 133,",35.94339105,128.56054593644632
제주,서귀포중앙점,제주특별자치도 서귀포시 중앙로 56(서귀동),,
서울,연남숲길점,서울특별시 마포구 동교로 235-1(연남동),,
경남,김해율하점,경상남도 김해시 율하2로236번길 44-1(율하동),,
부산,부산남천점,부산광역시 수영구 수영로 379(남천동),,
경기,일산가좌점,경기도 고양시 일산서구 가좌1로,37.6885365,126.7197635
충남,불당신도시점,충청남도 천안시 서북구 불당25로,36.808556,127.1056238
부산,부산동구청점,부산광역시 동구 고관로 95-1(수정동),,
충남,천안터미널점,충청남도 천안시 동남구 만남로,36.8204649,127.1611039
경북,금오공대점,경상북도 구미시 대학로 52-3(거의동),,
서울,수색자이점,서울특별시 은평구 수색로 217디엠씨,,
인천,인천신현점,"인천광역시 서구 원창로 194,",37.518018,126.6597662
경기,부천송내로데오점,경기도 부천시 상일로94번길 35삼익PLAZA,,
인천,계산역점,인천광역시 계양구 경명대로 1088(계산동),,
경기,일산동구청점,경기도 고양시 일산동구 정발산로,37.6636951,126.7867404
경기,목감신도시점,경기도 시흥시 목감남서로 9-27키움프라자,,
충남,아산지중해마을점,충청남도 아산시 탕정면 탕정면로8번길,36.797347,127.0585722
강원,인제점,강원도 인제군 인제읍 인제로,,
서울,당산역점,"서울특별시 영등포구 양평로 67,",37.5366186,126.8964835
경기,의정부민락점,경기도 의정부시 오목로225번길 157폴리프라자3,,
경기,동탄SRT역점,경기도 화성시 동탄오산로 82퍼스트프라자,,
경기,부천 심곡본동점,"경기도 부천시 성주로 175,",37.478165,126.779921
부산,광안시장점,부산광역시 수영구 수영로603번길 4(광안동),,
인천,구월로데오점,"인천광역시 남동구 예술로 126,",37.4453237,126.7007246
경북,포항오천점,경상북도 포항시 남구 오천읍,35.93673,129.40736
경기,김포사우점,경기도 김포시 사우중로 78밀레니엄프라자,,
경남,진주평거점,경상남도 진주시 평거로5번길 24(평거동),,
대구,대구유천점,대구광역시 달서구 조암남로 158그랑에비뉴,,
대전,대전노은점,대전광역시 유성구 노은로 158그랜드타운,,
경남,양산석산점,경상남도 양산시 동면 금오13길,35.3199894,129.0255891
대전,둔산동점,대전광역시 서구 대덕대로 179굿모닝엠제이피부과빌딩,,
부산,해운대좌동점,부산광역시 해운대구 대천로103번길 47대림아파트1차아파트,,
경기,동탄남광장점,경기도 화성시 동탄중심상가1길 9월드프라자,,
경기,양평용문점,경기도 양평군 용문면 용문역길,37.4819427,127.5924164
경남,진주혁신점,경상남도 진주시 사들로 52,35.17222405,128.14884479387555
경기,배곧이지더원점,경기도 시흥시 해송십리로 472-12배곧이지더원1차,,
경기,포천일동점,경기도 포천시 일동면 화동로1051번길,37.9575173,127.3167836
경기,수원인계점,경기도 수원시 팔달구 인계로,37.2696916,127.0220918
경남,양산물금점,경상남도 양산시 물금읍 물금로,35.3196603,129.0005313
광주,광주상무지구점,"광주광역시 서구 상무연하로 75,",35.1529285,126.8501939
경기,파주봉일천점,경기도 파주시 조리읍 봉천로,37.7485041,126.8001583
경기,화성병점점,경기도 화성시 효행로 1073,37.2136546,127.0410958
경남,김해삼계점,"경상남도 김해시 삼계중앙로 39,",35.2602612,128.8657065
경기,김포마송점,경기도 김포시 통진읍 김포대로2244번길,37.6909726,126.5982763
경북,구미확장단지점,경상북도 구미시 산동면 신당1로2길,,
경북,경주용황점,경상북도 경주시 용황구획4길 35에이치프라자,,
경기,가평현리점,경기도 가평군 조종면 현창로38번길,,
부산,괴정점,"부산광역시 사하구 장평로 448,",35.0875101,128.9729183
인천,인천효성점,"인천광역시 계양구 안남로 548,",37.5354438,126.710985
경기,신원당점,경기도 고양시 덕양구 고양대로1384번길,37.6527407,126.837184
서울,발산역점,"서울특별시 강서구 강서로 380,",37.5583814,126.8381831
서울,H비지니스파크점,"서울특별시 송파구 법원로11길 25,",37.4860543,127.1194402
부산,부산남구청점,부산광역시 남구 못골로41번길 13대연2차동원로얄듀크,,
경기,안산문화광장점,경기도 안산시 단원구 광덕대로,37.3179224,126.8303167
인천,서창1지구점,인천광역시 남동구 매소홀로 1127,37.4392996,126.723139
대구,시지신매점,대구광역시 수성구 신매로 91한라협화타운,,
경기,배곧유호엔시티점,경기도 시흥시 서울대학로278번길 43-7배곧,,
인천,임학역점,인천광역시 계양구 장제로 893(임학동),,
부산,대연점,부산광역시 남구 수영로 262(대연동),,
인천,만수역점,인천광역시 남동구 구월로 358(만수동),37.456395900000004,126.70312983873579
경기,용인풍덕천점,경기도 용인시 수지구 문인로,37.3331725,127.101029
부산,양정점,부산광역시 부산진구 중앙대로 898(양정동),,
